pc_time_iso,t_us,status1,status2,status3,ch1,ch2
2026-04-01T11:44:56.933,2097404,192,0,0,1475324,1606337
2026-04-01T11:44:56.937,2100208,192,0,0,-5760130,-1370245
2026-04-01T11:44:56.941,2103184,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.941,2106160,192,0,0,-6705106,-6929216
2026-04-01T11:44:56.945,2109136,192,0,0,4837743,3424152
2026-04-01T11:44:56.949,2111940,192,0,0,1579598,1664194
2026-04-01T11:44:56.949,2114744,192,0,0,-409112,4406809
2026-04-01T11:44:56.953,2117548,192,0,0,-8388608,-5779665
2026-04-01T11:44:56.957,2120524,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.961,2123500,192,0,0,3553781,3650639
2026-04-01T11:44:56.962,2126304,192,0,0,5521370,3800246
2026-04-01T11:44:56.965,2129108,192,0,0,1571229,1961021
2026-04-01T11:44:56.969,2131916,192,0,0,-4046970,-181125
2026-04-01T11:44:56.970,2134804,192,0,0,-8388608,-6144260
2026-04-01T11:44:56.974,2137780,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.978,2140752,192,0,0,1601073,2905045
2026-04-01T11:44:56.978,2143560,192,0,0,1674428,2132064
2026-04-01T11:44:56.982,2146364,192,0,0,1640868,2015624
2026-04-01T11:44:56.986,2149168,192,0,0,687863,5154994
2026-04-01T11:44:56.990,2151888,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.990,2154864,192,0,0,-8388608,-8388608
2026-04-01T11:44:56.994,2157840,192,0,0,5827009,5018841
2026-04-01T11:44:56.998,2160652,192,0,0,2273324,2289513
2026-04-01T11:44:56.998,2163448,192,0,0,1740400,2001910
2026-04-01T11:44:57.002,2166256,192,0,0,-8388608,-4672211
2026-04-01T11:44:57.006,2169228,192,0,0,-8388608,-8388608
2026-04-01T11:44:57.010,2172204,192,0,0,-1338824,-496305
2026-04-01T11:44:57.011,2175104,192,0,0,7049862,4489410
2026-04-01T11:44:57.014,2177900,192,0,0,2557799,1956898
2026-04-01T11:44:57.018,2180704,192,0,0,-65110,723060
2026-04-01T11:44:57.019,2183340,192,0,0,-8388608,-4056619
2026-04-01T11:44:57.023,2186324,192,0,0,-8388584,16
2026-04-01T11:44:57.027,2188780,192,0,0,-2872247,-2731086
2026-04-01T11:44:57.027,2191756,192,0,0,7066178,4753872
2026-04-01T11:44:57.031,2194576,192,0,0,1629807,1666659
2026-04-01T11:44:57.035,2197364,192,0,0,1236526,1905965
2026-04-01T11:44:57.035,2200168,192,0,0,-7068496,-2093641
2026-04-01T11:44:57.039,2203144,192,0,0,-8388608,-8388608
2026-04-01T11:44:57.043,2206120,192,0,0,-4588847,-5028400
2026-04-01T11:44:57.047,2209096,192,0,0,3650752,2481307
